City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Lasem,77,ID,1614652458,77,-6.6922,111.4527,82.89,5.23
81,Tabas,28,IR,1614652459,71,33.5959,56.9244,49.75,1.3
82,Jamestown,75,US,1614652290,90,42.097,-79.2353,19.99,18.88
83,Cayenne,90,GF,1614652364,94,4.9333,-52.3333,75.2,1.14
84,Lorengau,100,PG,1614652459,70,-2.0226,147.2712,85.46,12.03
85,Torbay,90,CA,1614652459,93,47.6666,-52.7314,26.6,5.75
86,Synya,100,RU,1614652459,94,65.3718,58.0387,11.61,11.12
87,Pāsighāt,91,IN,1614652459,39,28.0667,95.3333,76.69,2.28
88,Lüderitz,0,NA,1614652460,68,-26.6481,15.1594,68.14,8.28
89,Thompson,90,CA,1614652460,85,55.7435,-97.8558,1.4,3.44
90,Nuoro,40,IT,1614652460,81,40.3211,9.3297,50.0,6.91
91,Inírida,99,CO,1614652460,90,3.8653,-67.9239,73.56,2.39
92,São José da Coroa Grande,5,BR,1614652460,86,-8.8978,-35.1478,77.14,10.0
93,Bahía Blanca,1,AR,1614652437,39,-38.7196,-62.2724,80.44,12.12
94,Kendari,96,ID,1614652461,61,-3.945,122.4989,88.95,0.45
95,Smithers,75,CA,1614652461,60,54.7804,-127.1743,33.8,3.44
96,Thanh Hoa,96,VN,1614652461,55,19.8,105.7667,69.3,7.56
97,Lebu,100,CL,1614652461,88,-37.6167,-73.65,59.76,17.13
98,Geraldton,40,AU,1614652276,57,-28.7667,114.6,78.8,8.05
99,Ketchikan,90,US,1614652461,87,55.3422,-131.6461,37.4,9.22
100,Ostrovnoy,100,RU,1614652461,79,68.0531,39.5131,29.05,20.69
101,Puerto Ayora,83,EC,1614652274,87,-0.7393,-90.3518,77.77,3.67
102,Turaif,0,SA,1614652461,100,31.6725,38.6637,44.6,6.91
103,Yellowknife,75,CA,1614652461,54,62.456,-114.3525,-4.0,9.22
104,Iqaluit,90,CA,1614652462,78,63.7506,-68.5145,3.2,6.91
105,Oktyabr'skoye,34,RU,1614652462,100,43.0645,44.7417,23.0,8.95
106,Mayo,1,US,1614652462,39,38.8876,-76.5119,44.6,17.27
107,Hirtshals,75,DK,1614652462,100,57.5881,9.9592,35.6,11.5
108,Tasiilaq,1,GL,1614652462,61,65.6145,-37.6368,8.6,2.3
